cycle,total_nodes,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,tgc,elite_drift,newborn_survival
156,6551,6,6,0,5237,0.963834,0.021754,0.102959,0.001306,0.002533,1.0000
157,6561,11,11,0,5248,0.963455,0.021994,0.101909,0.001398,0.002780,1.0000
158,6571,8,8,0,5256,0.963613,0.021894,0.101218,0.001331,0.002886,1.0000
159,6581,11,11,0,5267,0.963444,0.022005,0.100384,0.001415,0.002958,1.0000
160,6591,12,12,0,5279,0.963629,0.021872,0.099734,0.001517,0.002934,1.0000
161,6601,9,9,0,5288,0.963875,0.021726,0.099198,0.001456,0.002844,1.0000
162,6611,9,9,0,5297,0.963810,0.021772,0.098476,0.001413,0.002751,1.0000
163,6621,10,10,0,5307,0.963774,0.021783,0.097761,0.001426,0.002359,1.0000
164,6631,10,10,0,5317,0.963800,0.021782,0.097121,0.001434,0.002413,1.0000
165,6641,12,12,0,5329,0.963866,0.021730,0.096514,0.001526,0.002365,1.0000
166,6651,8,8,0,5337,0.964140,0.021550,0.096017,0.001416,0.002058,1.0000
167,6661,10,10,0,5347,0.963982,0.021647,0.095311,0.001426,0.002091,1.0000
168,6671,9,9,0,5356,0.964030,0.021618,0.094700,0.001388,0.002037,1.0000
169,6681,13,13,0,5369,0.963960,0.021672,0.094053,0.001534,0.002222,1.0000
170,6691,10,10,0,5379,0.964342,0.021418,0.093702,0.001506,0.002598,1.0000
171,6701,13,13,0,5392,0.964407,0.021368,0.093178,0.001616,0.002476,1.0000
172,6711,7,7,0,5399,0.964773,0.021133,0.092845,0.001433,0.002767,1.0000
173,6721,12,12,0,5411,0.964521,0.021285,0.092167,0.001520,0.002999,1.0000
174,6731,10,10,0,5421,0.964782,0.021116,0.091794,0.001494,0.003106,1.0000
175,6741,15,15,0,5436,0.964792,0.021134,0.091255,0.001690,0.002881,1.0000
176,6751,12,12,0,5448,0.965341,0.020797,0.090998,0.001698,0.003029,1.0000
177,6761,8,8,0,5456,0.965599,0.020633,0.090624,0.001531,0.003302,1.0000
178,6771,13,13,0,5469,0.965428,0.020748,0.089993,0.001628,0.003219,1.0000
179,6781,7,7,0,5476,0.965810,0.020488,0.089714,0.001439,0.003217,1.0000
180,6791,10,10,0,5486,0.965547,0.020655,0.089035,0.001434,0.003292,1.0000
181,6801,10,10,0,5496,0.965577,0.020648,0.088548,0.001429,0.003580,1.0000
182,6811,11,11,0,5507,0.965597,0.020653,0.088069,0.001468,0.003734,1.0000
183,6821,9,9,0,5516,0.965752,0.020549,0.087709,0.001410,0.003978,1.0000
184,6831,4,4,0,5520,0.965713,0.020563,0.087188,0.001157,0.004070,1.0000
185,6841,10,10,0,5530,0.965154,0.020914,0.086383,0.001233,0.003917,1.0000
