cycle,total_nodes,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,tgc,elite_drift,newborn_survival
162,6611,9,9,0,5297,0.963937,0.021781,0.098452,0.001413,0.002279,1.0000
163,6621,10,10,0,5307,0.963901,0.021791,0.097738,0.001426,0.002287,1.0000
164,6631,10,10,0,5317,0.963928,0.021790,0.097100,0.001434,0.002386,1.0000
165,6641,12,12,0,5329,0.963993,0.021738,0.096494,0.001526,0.002399,1.0000
166,6651,8,8,0,5337,0.964267,0.021558,0.096008,0.001416,0.002259,1.0000
167,6661,10,10,0,5347,0.964109,0.021655,0.095333,0.001426,0.001917,1.0000
168,6671,9,9,0,5356,0.964158,0.021627,0.094728,0.001388,0.001794,1.0000
169,6681,13,13,0,5369,0.964088,0.021680,0.094099,0.001535,0.001811,1.0000
170,6691,10,10,0,5379,0.964471,0.021426,0.093754,0.001507,0.001930,1.0000
171,6701,13,13,0,5392,0.964535,0.021376,0.093206,0.001616,0.001745,1.0000
172,6711,7,7,0,5399,0.964900,0.021142,0.092866,0.001433,0.001926,1.0000
173,6721,12,12,0,5411,0.964648,0.021293,0.092179,0.001520,0.001903,1.0000
174,6731,10,10,0,5421,0.964909,0.021124,0.091793,0.001494,0.001962,1.0000
175,6741,15,15,0,5436,0.964919,0.021142,0.091273,0.001690,0.001913,1.0000
176,6751,12,12,0,5448,0.965468,0.020806,0.091029,0.001698,0.002263,1.0000
177,6761,8,8,0,5456,0.965726,0.020641,0.090639,0.001531,0.002734,1.0000
178,6771,13,13,0,5469,0.965555,0.020756,0.089977,0.001628,0.002597,1.0000
179,6781,7,7,0,5476,0.965937,0.020496,0.089684,0.001439,0.002506,1.0000
180,6791,10,10,0,5486,0.965675,0.020663,0.089015,0.001434,0.002744,1.0000
181,6801,10,10,0,5496,0.965705,0.020656,0.088547,0.001430,0.002808,1.0000
182,6811,11,11,0,5507,0.965725,0.020661,0.088066,0.001469,0.002964,1.0000
183,6821,9,9,0,5516,0.965880,0.020557,0.087707,0.001410,0.003195,1.0000
184,6831,4,4,0,5520,0.965841,0.020571,0.087197,0.001157,0.003222,1.0000
185,6841,10,10,0,5530,0.965282,0.020922,0.086395,0.001233,0.003142,1.0000
186,6851,9,9,0,5539,0.965334,0.020887,0.085983,0.001244,0.003124,1.0000
187,6861,11,11,0,5550,0.965270,0.020930,0.085461,0.001335,0.002967,1.0000
188,6871,11,11,0,5561,0.965424,0.020829,0.085113,0.001398,0.003130,1.0000
189,6881,9,9,0,5570,0.965570,0.020739,0.084764,0.001358,0.003434,1.0000
190,6891,8,8,0,5578,0.965511,0.020780,0.084288,0.001287,0.003421,1.0000
191,6901,5,5,0,5583,0.965364,0.020866,0.083739,0.001110,0.003553,1.0000
192,6911,8,8,0,5591,0.964914,0.021145,0.083089,0.001112,0.003438,1.0000
193,6921,10,10,0,5601,0.964744,0.021263,0.082595,0.001197,0.003657,1.0000
194,6931,6,6,0,5607,0.964797,0.021225,0.082171,0.001088,0.004030,1.0000
